Seq_number,Barcode,New_name,Location,Year,ext_rep,tech_rep,Sample_Control,Control_Type
Seb.Rep.1.long.b.33.S76,Sebastes,Sebastes_2016_4_86.7_50_2_1,2016_4_86.7_50,2016,2,1,Sample,NA
Seb.Rep.2.b.33.S170,Sebastes,Sebastes_2016_4_86.7_50_2_2,2016_4_86.7_50,2016,2,2,Sample,NA
Seb.Rep.3.b.33.S265,Sebastes,Sebastes_2016_4_86.7_50_2_3,2016_4_86.7_50,2016,2,3,Sample,NA
Seb.Rep.1.long.b.34.S77,Sebastes,Sebastes_2016_4_93.3_30_1_1,2016_4_93.3_30,2016,1,1,Sample,NA
Seb.Rep.2.b.34.S171,Sebastes,Sebastes_2016_4_93.3_30_1_2,2016_4_93.3_30,2016,1,2,Sample,NA
Seb.Rep.3.b.34.S266,Sebastes,Sebastes_2016_4_93.3_30_1_3,2016_4_93.3_30,2016,1,3,Sample,NA
Seb.Rep.1.long.b.35.S78,Sebastes,Sebastes_2016_4_93.3_60_1_1,2016_4_93.3_60,2016,1,1,Sample,NA
Seb.Rep.2.b.35.S172,Sebastes,Sebastes_2016_4_93.3_60_1_2,2016_4_93.3_60,2016,1,2,Sample,NA
Seb.Rep.3.b.35.S267,Sebastes,Sebastes_2016_4_93.3_60_1_3,2016_4_93.3_60,2016,1,3,Sample,NA
Miu.1.b.28.S76,MiFish,MiFish_2015_4_80_60_1_1,2015_4_80_60,2015,1,1,Sample,NA
Miu.1.b.29.S77,MiFish,MiFish_2015_4_86.7_50_1_1,2015_4_86.7_50,2015,1,1,Sample,NA
Miu.1.b.30.S78,MiFish,MiFish_2015_4_93.3_30_1_1,2015_4_93.3_30,2015,1,1,Sample,NA
Miu.1.b.31.S79,MiFish,MiFish_2015_4_93.3_60_1_1,2015_4_93.3_60,2015,1,1,Sample,NA
Miu.2.b.28.S176,MiFish,MiFish_2015_4_80_60_1_2,2015_4_80_60,2015,1,2,Sample,NA
Miu.2.b.29.S177,MiFish,MiFish_2015_4_86.7_50_1_2,2015_4_86.7_50,2015,1,2,Sample,NA
Miu.2.b.30.S178,MiFish,MiFish_2015_4_93.3_30_1_2,2015_4_93.3_30,2015,1,2,Sample,NA
Miu.2.b.31.S179,MiFish,MiFish_2015_4_93.3_60_1_2,2015_4_93.3_60,2015,1,2,Sample,NA
Miu.3.b.28.S276,MiFish,MiFish_2015_4_80_60_1_3,2015_4_80_60,2015,1,3,Sample,NA
Miu.3.b.29.S277,MiFish,MiFish_2015_4_86.7_50_1_3,2015_4_86.7_50,2015,1,3,Sample,NA
Miu.3.b.30.S278,MiFish,MiFish_2015_4_93.3_30_1_3,2015_4_93.3_30,2015,1,3,Sample,NA
Miu.3.b.31.S279,MiFish,MiFish_2015_4_93.3_60_1_3,2015_4_93.3_60,2015,1,3,Sample,NA
Seb.Rep.1.long.b.28.S72,Sebastes,Sebastes_2015_4_80_60_1_1,2015_4_80_60,2015,1,1,Sample,NA
Seb.Rep.2.b.28.S166,Sebastes,Sebastes_2015_4_80_60_1_2,2015_4_80_60,2015,1,2,Sample,NA
Seb.Rep.3.b.28.S261,Sebastes,Sebastes_2015_4_80_60_1_3,2015_4_80_60,2015,1,3,Sample,NA
Seb.Rep.1.long.b.29.S73,Sebastes,Sebastes_2015_4_86.7_50_1_1,2015_4_86.7_50,2015,1,1,Sample,NA
Seb.Rep.2.b.29.S167,Sebastes,Sebastes_2015_4_86.7_50_1_2,2015_4_86.7_50,2015,1,2,Sample,NA
Seb.Rep.3.b.29.S262,Sebastes,Sebastes_2015_4_86.7_50_1_3,2015_4_86.7_50,2015,1,3,Sample,NA
Seb.Rep.1.long.b.30.S74,Sebastes,Sebastes_2015_4_93.3_30_1_1,2015_4_93.3_30,2015,1,1,Sample,NA
Seb.Rep.2.b.30.S168,Sebastes,Sebastes_2015_4_93.3_30_1_2,2015_4_93.3_30,2015,1,2,Sample,NA
Seb.Rep.3.b.30.S263,Sebastes,Sebastes_2015_4_93.3_30_1_3,2015_4_93.3_30,2015,1,3,Sample,NA
Miu.1.b.24.S72,MiFish,MiFish_2014_4_80_60_1_1,2014_4_80_60,2014,1,1,Sample,NA
Miu.1.b.25.S73,MiFish,MiFish_2014_4_80_60_2_1,2014_4_80_60,2014,2,1,Sample,NA
Miu.1.b.26.S74,MiFish,MiFish_2014_4_93.3_30_1_1,2014_4_93.3_30,2014,1,1,Sample,NA
Miu.1.b.27.S75,MiFish,MiFish_2014_4_93.3_60_1_1,2014_4_93.3_60,2014,1,1,Sample,NA
Miu.2.b.24.S172,MiFish,MiFish_2014_4_80_60_1_2,2014_4_80_60,2014,1,2,Sample,NA
Miu.2.b.25.S173,MiFish,MiFish_2014_4_80_60_2_2,2014_4_80_60,2014,2,2,Sample,NA
Miu.2.b.26.S174,MiFish,MiFish_2014_4_93.3_30_1_2,2014_4_93.3_30,2014,1,2,Sample,NA
Miu.2.b.27.S175,MiFish,MiFish_2014_4_93.3_60_1_2,2014_4_93.3_60,2014,1,2,Sample,NA
Miu.3.b.24.S272,MiFish,MiFish_2014_4_80_60_1_3,2014_4_80_60,2014,1,3,Sample,NA
Miu.3.b.25.S273,MiFish,MiFish_2014_4_80_60_2_3,2014_4_80_60,2014,2,3,Sample,NA
